,Timestamp,Price (USD)
0,2022-11-05,21150.315583912397
1,2022-11-06,21282.985109422694
2,2022-11-07,20906.99792695512
3,2022-11-08,20597.755017060834
4,2022-11-09,18562.353215089643
5,2022-11-10,15742.444335961438
6,2022-11-11,17594.923500278233
7,2022-11-12,17080.215260565037
8,2022-11-13,16797.98748257006
9,2022-11-14,16344.342316001042
10,2022-11-15,16645.828500283515
11,2022-11-16,16890.52938386464
12,2022-11-17,16689.39673273771
13,2022-11-18,16718.361228055077
14,2022-11-19,16707.022778986535
15,2022-11-20,16712.729525794817
16,2022-11-21,16304.07685562355
17,2022-11-22,15814.335280855257
18,2022-11-23,16171.628978315088
19,2022-11-24,16608.00998544357
20,2022-11-25,16596.03575847268
21,2022-11-26,16524.449007720887
22,2022-11-27,16456.156062496684
23,2022-11-28,16459.149543755877
24,2022-11-29,16222.210728731225
25,2022-11-30,16441.979978419113
26,2022-12-01,17186.502572066118
27,2022-12-02,16972.73406077455
28,2022-12-03,17084.87334047068
29,2022-12-04,16923.38287008033
30,2022-12-05,17149.93175096291
31,2022-12-06,16973.372577553495
32,2022-12-07,17085.64314125141
33,2022-12-08,16851.30346863184
34,2022-12-09,17235.014157992136
35,2022-12-10,17149.824203925327
36,2022-12-11,17125.364927688952
37,2022-12-12,17101.038019732932
38,2022-12-13,17179.596038203494
39,2022-12-14,17784.162894053265
40,2022-12-15,17808.71617265881
41,2022-12-16,17338.358126632633
42,2022-12-17,16623.75782614431
43,2022-12-18,16806.48559206152
44,2022-12-19,16742.816663834055
45,2022-12-20,16422.562273279298
46,2022-12-21,16899.331969046758
47,2022-12-22,16816.85370118997
48,2022-12-23,16824.790162441503
49,2022-12-24,16791.45543916491
50,2022-12-25,16848.568708323422
51,2022-12-26,16842.177039905502
52,2022-12-27,16900.081871938084
53,2022-12-28,16701.840210667935
54,2022-12-29,16538.906094001977
55,2022-12-30,16644.379087037905
56,2022-12-31,16604.020520373393
57,2023-01-01,16540.693624776803
58,2023-01-02,16615.969318012816
59,2023-01-03,16674.342536301097
60,2023-01-04,16677.646185850346
61,2023-01-05,16855.1747387671
62,2023-01-06,16832.098988497855
63,2023-01-07,16960.23206247515
64,2023-01-08,16950.861521853905
65,2023-01-09,17074.61539572674
66,2023-01-10,17194.90932945318
67,2023-01-11,17436.90232978116
68,2023-01-12,17996.832553741606
69,2023-01-13,18866.810330617045
70,2023-01-14,19941.780543296303
71,2023-01-15,21019.20661402266
72,2023-01-16,20853.230569490253
73,2023-01-17,21175.33773662521
74,2023-01-18,21156.78393116713
75,2023-01-19,20726.844969426445
76,2023-01-20,21081.671022204326
77,2023-01-21,22705.83367889906
78,2023-01-22,22771.023287021784
79,2023-01-23,22736.66142892971
80,2023-01-24,22984.87497643721
81,2023-01-25,22610.010598272846
82,2023-01-26,23180.422697874263
83,2023-01-27,23024.74618081709
84,2023-01-28,23082.858382122955
85,2023-01-29,23022.23299135344
86,2023-01-30,23797.460894881242
87,2023-01-31,22840.385858797104
88,2023-02-01,23137.323554088376
89,2023-02-02,23725.161796142238
90,2023-02-03,23539.676770196525
91,2023-02-04,23451.577650774634
92,2023-02-05,23340.34958553934
93,2023-02-06,22946.286578591233
94,2023-02-07,22786.483006387727
95,2023-02-08,23294.9136483527
96,2023-02-09,22947.50782856846
97,2023-02-10,21820.886508092775
98,2023-02-11,21630.132979576298
99,2023-02-12,21889.432080049624
100,2023-02-13,21779.87440384417
101,2023-02-14,21807.834274723064
102,2023-02-15,22220.070997481067
103,2023-02-16,24307.875101631602
104,2023-02-17,23756.907281577434
105,2023-02-18,24628.82455217312
106,2023-02-19,24642.79087073843
107,2023-02-20,24284.478003714703
108,2023-02-21,24786.665940845705
109,2023-02-22,24417.38703630947
110,2023-02-23,24146.101364545222
111,2023-02-24,23951.11098423326
112,2023-02-25,23172.286538018925
113,2023-02-26,23157.038107459524
114,2023-02-27,23541.115854493557
115,2023-02-28,23518.12390627588
116,2023-03-01,23155.543746825795
117,2023-03-02,23634.333489123786
118,2023-03-03,23464.33654185282
119,2023-03-04,22367.43302246967
120,2023-03-05,22348.32991538815
121,2023-03-06,22421.885805853268
122,2023-03-07,22415.113659694827
123,2023-03-08,22217.209884905325
124,2023-03-09,21712.65119391273
125,2023-03-10,20376.320007428807
126,2023-03-11,20195.2289502733
127,2023-03-12,20521.55615175117
128,2023-03-13,22095.71339833569
129,2023-03-14,24178.95532797469
130,2023-03-15,24758.765085827567
131,2023-03-16,24470.88205445031
132,2023-03-17,25161.272017520052
133,2023-03-18,27466.677829829863
134,2023-03-19,27107.792183504385
135,2023-03-20,28186.842652360127
136,2023-03-21,27929.167733140293
137,2023-03-22,28264.23961052235
138,2023-03-23,27449.254830807356
139,2023-03-24,28459.735113552502
140,2023-03-25,27595.4947483755
141,2023-03-26,27670.199498496833
142,2023-03-27,28048.46997853496
143,2023-03-28,27182.299559950465
144,2023-03-29,27291.3500210497
145,2023-03-30,28394.997780199057
146,2023-03-31,28041.123080088284
147,2023-04-01,28516.784729688636
148,2023-04-02,28498.94463304862
149,2023-04-03,28236.508738939792
150,2023-04-04,27815.42653124798
151,2023-04-05,28175.33033421539
152,2023-04-06,28197.20034124555
153,2023-04-07,28042.9833864884
154,2023-04-08,27934.43871284895
155,2023-04-09,27968.12804705512
156,2023-04-10,28351.23699385011
157,2023-04-11,29657.974136873556
158,2023-04-12,30260.93610940865
159,2023-04-13,29904.138694718906
160,2023-04-14,30405.027312781145
161,2023-04-15,30468.40870059078
162,2023-04-16,30312.16187965924
163,2023-04-17,30304.807514785844
164,2023-04-18,29467.459829260344
